Source,Target
berenime,ḅerenimẹ
o,ò
mengi,mengi
mi,mị
se,se
jizos,jizọs
be,ḅe
sara,sara
so,so
kirikiri,kirikiri
jizos,jizọs
be,ḅe
mengi,mengi
mi,mị
bie,ḅie
iwo,iwo
pakabome,pakaḅomẹ
anisiki,anịsịkị
so,so
boko,ḅọkọ
mi,mị
finji,finji
o,ọ̀
pirime,pịrịmẹ
se,se
tamuno,tamụnọ
teme,tẹmẹ
be,ḅe
okúku,okúkú
bara,ḅara
seni,seni
ideri,ideri
bo,ḅo
oria,oria
ogono,ọgọnọ
chie,chịẹ
oku,ọkụ
o,ọ̀
nwo,nwọ
orime,ọrịmẹ
ani,anị
puko,pụkọ
sobie,soḅie
nwo,nwọ
be,ḅẹ
ye-e,ye-ẹ
be,ḅe
ani,anị
ibu,ị̀ḅụ
yela,yela
toku,tọkụ
be-e,ḅe-ẹ
oria,òria
mie,mịẹ
ye,ye
opuma,opuma
ibubeleme,ịḅụḅẹlẹmẹ
jizos,jizọs
be,ḅe
dadiki,ḍaḍiki
mi,mị
anisiki,anịsịkị
teme,tẹmẹ
be,ḅe
jizos,jizọs
be,ḅe
nwo,nwọ
boroma,ḅọrọma
onwuele,onwuele
ogbo,ogbo
mume,mumẹ
oru,oru
be,ḅe
o,ọ̀
dadikibia,ḍaḍikiḅịa
erechi,ẹrẹchị
jizos,jizọs
be,ḅe
buru,ḅuru
o,ọ̀
tarime,tarị̀mẹ
enekaka-a,enekaka-a
mesi,mesi
na,na
din-a,ḍin-a
mesi,mesi
o,ọ̀
nwose,nwọse
onwuele,onwuele
ogbo,ogbo
sime,sime
bu,ḅụ
